URL,Page Title,Meta Description,Character Count
https://www.continuitytrainingacademy.co.uk,Homepage,"CQC-compliant care training in Kent since 2020. CPD-accredited courses for care workers, first aid, medication management, safeguarding, and more.",153
https://www.continuitytrainingacademy.co.uk/,Homepage,"CQC-compliant care training in Kent since 2020. CPD-accredited courses for care workers, first aid, medication management, safeguarding, and more.",153
https://continuitytrainingacademy.co.uk/,Homepage,"CQC-compliant care training in Kent since 2020. CPD-accredited courses for care workers, first aid, medication management, safeguarding, and more.",153
https://www.continuitytrainingacademy.co.uk/about/,About,"Award-winning care training provider based in Maidstone, Kent. CQC-compliant courses delivered by experienced health and social care professionals.",150
https://www.continuitytrainingacademy.co.uk/accessibility-statement/,Accessibility Statement,"Our commitment to making training accessible to everyone. Learn about our accessibility features and how we support learners with additional needs.",155
https://www.continuitytrainingacademy.co.uk/contact/,Contact,"Get in touch about care training courses in Kent. Call us, email, or book a callback. We're here Monday to Friday 9am-5pm to answer your questions.",156
https://www.continuitytrainingacademy.co.uk/contact/?type=schedule-call,Contact - Schedule Call,"Book a free callback to discuss care training for your team. We'll call you at a time that suits you to talk about courses, pricing, and group bookings.",158
https://www.continuitytrainingacademy.co.uk/contact-us/,Contact (404),"Get in touch about care training courses in Kent. Call us, email, or book a callback. We're here Monday to Friday 9am-5pm to answer your questions.",156
https://www.continuitytrainingacademy.co.uk/cookie-policy/,Cookie Policy,"How we use cookies on our website. Information about the cookies we set, why we use them, and how to manage your cookie preferences.",142
https://www.continuitytrainingacademy.co.uk/privacy-policy/,Privacy Policy,"How we collect, use, and protect your personal data. Read our full privacy policy covering booking information, training records, and data security.",157
https://www.continuitytrainingacademy.co.uk/terms-conditions/,Terms & Conditions,"Terms and conditions for booking care training courses. Read about cancellation policies, payment terms, refunds, and learner responsibilities.",153
https://www.continuitytrainingacademy.co.uk/courses/,All Courses,"Browse 40+ CQC-compliant care training courses in Kent. From safeguarding and first aid to dementia care and medication management. Book now.",148
https://www.continuitytrainingacademy.co.uk/courses/?category=communication-workplace-culture,Communication Courses,"Effective communication and workplace culture training for care workers. Build better relationships with service users, families, and colleagues.",155
https://www.continuitytrainingacademy.co.uk/courses/?category=core-care-skills,Core Care Skills,"Essential care worker training covering safeguarding, dignity, duty of care, and person-centred approaches. CQC-compliant courses in Kent.",147
https://www.continuitytrainingacademy.co.uk/courses/?category=emergency-first-aid,First Aid Courses,"Emergency first aid training for care workers. Level 3 courses covering workplace first aid, paediatric first aid, and basic life support in Kent.",152
https://www.continuitytrainingacademy.co.uk/courses/?category=health-conditions-specialist-care,Specialist Care Training,"Specialist health condition training for care workers. Learn about dementia, diabetes, epilepsy, learning disabilities, and end of life care.",150
https://www.continuitytrainingacademy.co.uk/courses/?category=information-data-management,GDPR & Data Training,"GDPR and information handling training for care settings. Learn about data protection, confidentiality, and secure record-keeping practices.",150
https://www.continuitytrainingacademy.co.uk/courses/?category=leadership-professional-development,Leadership Training,"Management and leadership training for care professionals. Level 2 and Level 3 courses covering supervision, team building, and development.",150
https://www.continuitytrainingacademy.co.uk/courses/?category=medication-management,Medication Courses,"Medication training for care workers. Level 2 awareness and Level 3 competency courses covering safe administration, storage, and recording.",152
https://www.continuitytrainingacademy.co.uk/courses/?category=nutrition-hygiene,Nutrition & Hygiene,"Nutrition, hydration, food safety, and oral health training for care workers. Learn about dietary needs, infection control, and safe practices.",154
https://www.continuitytrainingacademy.co.uk/courses/?category=safety-compliance,Safety & Compliance,"Health and safety training for care settings. Fire safety, moving and handling, infection control, and workplace safety courses in Kent.",144
https://www.continuitytrainingacademy.co.uk/upcoming-courses/,Scheduled Courses,"View upcoming training course dates in Maidstone. Book your place on scheduled courses for care workers, first aid, medication, and safeguarding.",155
https://www.continuitytrainingacademy.co.uk/group-training/,Group Training,"Onsite group training for care homes and domiciliary agencies in Kent. Tailored courses delivered at your location for your entire team.",148
https://www.continuitytrainingacademy.co.uk/news/,News & Updates,"Latest care sector news, training updates, and industry insights from Continuity Training Academy. Stay informed about CQC changes and best practices.",159
https://www.continuitytrainingacademy.co.uk/news/?category=awards & recognition,Awards & Recognition,"Recognition and awards won by Continuity Training Academy. Read about our achievements and commitment to excellence in care sector training.",154
https://www.continuitytrainingacademy.co.uk/news/?category=first aid & emergency,First Aid News,"First aid training updates and emergency care news. Stay current with guidelines, best practices, and first aid qualification requirements.",150
https://www.continuitytrainingacademy.co.uk/news/?category=manual handling & safety,Moving & Handling News,"Moving and handling safety updates for care workers. Latest guidance on safe manual handling practices and equipment use in care settings.",151
https://www.continuitytrainingacademy.co.uk/courses/adult-social-care-certificate-3d-l2/,Adult Social Care Certificate,"Level 2 Adult Social Care Certificate course in Kent. 3-day intensive training covering core skills for new care workers. CQC-compliant course.",151
https://www.continuitytrainingacademy.co.uk/courses/adult-social-care-certificate/,Adult Social Care Certificate (alt),"Level 2 Adult Social Care Certificate course in Kent. 3-day intensive training covering core skills for new care workers. CQC-compliant course.",151
https://www.continuitytrainingacademy.co.uk/courses/basic-health-safety-l2/,Basic Health & Safety,"Level 2 Health and Safety training for care workers in Kent. Learn about risk assessments, hazard identification, and safe working practices.",151
https://www.continuitytrainingacademy.co.uk/courses/basic-life-support-l2/,Basic Life Support,"Level 2 Basic Life Support training in Kent. Learn CPR, use of AEDs, and emergency response for care workers. CPD-accredited qualification.",148
https://www.continuitytrainingacademy.co.uk/courses/care-planning-l2/,Care Planning,"Level 2 Care Planning course for care workers. Learn to develop, implement, and review person-centred care plans. CQC-compliant training in Kent.",153
https://www.continuitytrainingacademy.co.uk/courses/customer-service-skills/,Customer Service Skills,"Customer service training for care workers. Build professional relationships with service users and families while maintaining dignity and respect.",157
https://www.continuitytrainingacademy.co.uk/courses/dementia-awareness-l2/,Dementia Awareness,"Level 2 Dementia Awareness training in Kent. Understand different types of dementia, communication techniques, and person-centred approaches.",149
https://www.continuitytrainingacademy.co.uk/courses/diabetes-awareness/,Diabetes Awareness,"Diabetes awareness training for care workers. Learn about Type 1 and 2 diabetes, blood sugar monitoring, hypo/hyperglycaemia, and emergency care.",158
https://www.continuitytrainingacademy.co.uk/courses/dignity-privacy-respect-l2/,Dignity Privacy & Respect,"Level 2 Dignity, Privacy and Respect course. Learn to uphold service user rights, maintain confidentiality, and provide person-centred care in Kent.",159
https://www.continuitytrainingacademy.co.uk/courses/duty-of-care-l2/,Duty of Care,"Level 2 Duty of Care training for care workers. Understand your legal responsibilities, professional boundaries, and ethical care practices in Kent.",154
https://www.continuitytrainingacademy.co.uk/courses/effective-communication-l2/,Effective Communication,"Level 2 Effective Communication course for care settings. Learn verbal and non-verbal techniques for working with diverse service users in Kent.",152
https://www.continuitytrainingacademy.co.uk/courses/emergency-first-aid-at-work-1d-l3/,Emergency First Aid at Work,"Level 3 Emergency First Aid at Work course in Kent. 1-day HSE-approved training covering CPR, wounds, burns, and workplace emergencies.",142
https://www.continuitytrainingacademy.co.uk/courses/emergency-first-aid-at-work/,Emergency First Aid at Work (alt),"Level 3 Emergency First Aid at Work course in Kent. 1-day HSE-approved training covering CPR, wounds, burns, and workplace emergencies.",142
https://www.continuitytrainingacademy.co.uk/courses/emergency-paediatric-first-aid/,Emergency Paediatric First Aid,"Emergency Paediatric First Aid training in Kent. Learn to respond to child and infant emergencies including CPR, choking, and injury management.",155
https://www.continuitytrainingacademy.co.uk/courses/end-of-life-care-l2/,End of Life Care,"Level 2 End of Life Care training for care workers. Learn about palliative care, pain management, emotional support, and dignified care in Kent.",153
https://www.continuitytrainingacademy.co.uk/courses/epilepsy-emergency-medication-l2/,Epilepsy & Emergency Medication,"Level 2 Epilepsy and Emergency Medication course. Learn about seizure types, triggers, emergency protocols, and buccal midazolam administration.",155
https://www.continuitytrainingacademy.co.uk/courses/equal-opportunities/,Equal Opportunities,"Equal opportunities training for care workers. Understand discrimination, protected characteristics, and how to promote equality in care settings.",154
https://www.continuitytrainingacademy.co.uk/courses/equality-diversity-inclusion-human-rights-l2/,Equality Diversity & Inclusion,"Level 2 Equality, Diversity, Inclusion and Human Rights course. Learn to challenge discrimination and promote inclusive care practices in Kent.",150
https://www.continuitytrainingacademy.co.uk/courses/fire-safety-awareness-l2/,Fire Safety Awareness,"Level 2 Fire Safety Awareness for care settings. Learn about fire prevention, evacuation procedures, equipment use, and emergency response in Kent.",157
https://www.continuitytrainingacademy.co.uk/courses/first-aid-at-work-3d-l3/,First Aid at Work,"Level 3 First Aid at Work course in Kent. 3-day HSE-approved training for workplace first aiders. Covers major injuries, CPR, and emergencies.",153
https://www.continuitytrainingacademy.co.uk/courses/food-safety-awareness-l2/,Food Safety Awareness,"Level 2 Food Safety Awareness for care settings. Learn about safe food handling, storage, allergens, and hygiene standards. CQC-compliant course.",153
https://www.continuitytrainingacademy.co.uk/courses/gdpr/,GDPR,"GDPR training for care workers. Understand data protection laws, confidentiality, consent, and secure handling of personal information in care settings.",159
https://www.continuitytrainingacademy.co.uk/courses/infection-prevention-and-control-l2/,Infection Prevention & Control,"Level 2 Infection Prevention and Control course. Learn about PPE, hand hygiene, outbreak management, and preventing healthcare-associated infections.",158
https://www.continuitytrainingacademy.co.uk/courses/information-handling-l2/,Information Handling,"Level 2 Information Handling course for care workers. Learn about confidentiality, secure record-keeping, and information sharing in care settings.",155
https://www.continuitytrainingacademy.co.uk/courses/insulin-awareness-l2/,Insulin Awareness,"Level 2 Insulin Awareness training. Learn about insulin types, storage, injection techniques, hypo/hyperglycaemia, and supporting diabetic service users.",159
https://www.continuitytrainingacademy.co.uk/courses/learning-disabilities-autism-l2/,Learning Disabilities & Autism,"Level 2 Learning Disabilities and Autism course. Understand different conditions, communication strategies, and person-centred support approaches.",154
https://www.continuitytrainingacademy.co.uk/courses/management-leadership-skills-level-2/,Management & Leadership L2,"Level 2 Management and Leadership Skills for care supervisors. Learn about team management, delegation, supervision, and professional development.",156
https://www.continuitytrainingacademy.co.uk/courses/management-leadership-skills-level-3-1d-l3/,Management & Leadership L3,"Level 3 Management and Leadership Skills course. 1-day training for care managers covering strategic planning, performance, and team development.",155
https://www.continuitytrainingacademy.co.uk/courses/medication-awareness-l2/,Medication Awareness,"Level 2 Medication Awareness for care workers. Introduction to safe medication practices, storage, recording, and common drug types in care settings.",158
https://www.continuitytrainingacademy.co.uk/courses/medication-competency-management-1d-l3/,Medication Competency & Management,"Level 3 Medication Competency and Management course in Kent. 1-day training covering safe administration, MAR charts, and medication procedures.",153
https://www.continuitytrainingacademy.co.uk/courses/medication-competency-management/,Medication Competency (alt),"Level 3 Medication Competency and Management course in Kent. 1-day training covering safe administration, MAR charts, and medication procedures.",153
https://www.continuitytrainingacademy.co.uk/courses/mental-capacity-act-dols-l2/,Mental Capacity Act & DoLS,"Level 2 Mental Capacity Act and DoLS training. Understand capacity assessments, best interests decisions, and Deprivation of Liberty Safeguards.",156
https://www.continuitytrainingacademy.co.uk/courses/moving-positioning-inc-hoist-1d-l3/,Moving & Positioning inc. Hoist,"Level 3 Moving and Positioning with Hoist training. 1-day practical course covering safe manual handling, risk assessments, and hoist operation.",151
https://www.continuitytrainingacademy.co.uk/courses/moving-positioning-inc-hoist/,Moving & Positioning Hoist (alt),"Level 3 Moving and Positioning with Hoist training. 1-day practical course covering safe manual handling, risk assessments, and hoist operation.",151
https://www.continuitytrainingacademy.co.uk/courses/moving-positioning-theory-l2/,Moving & Positioning Theory,"Level 2 Moving and Positioning Theory course. Learn safe manual handling principles, risk assessment, and legislation for care workers in Kent.",150
https://www.continuitytrainingacademy.co.uk/courses/nutrition-and-hydration-l2/,Nutrition & Hydration,"Level 2 Nutrition and Hydration course for care workers. Learn about dietary needs, malnutrition, special diets, and supporting service users to eat.",158
https://www.continuitytrainingacademy.co.uk/courses/oral-health-l2/,Oral Health,"Level 2 Oral Health training for care workers. Learn about dental hygiene, denture care, mouth care for vulnerable adults, and preventing oral disease.",159
https://www.continuitytrainingacademy.co.uk/courses/oxygen-therapy-awareness-l2/,Oxygen Therapy Awareness,"Level 2 Oxygen Therapy Awareness for care workers. Learn about oxygen delivery systems, safety, monitoring, and supporting service users on oxygen.",158
https://www.continuitytrainingacademy.co.uk/courses/paediatric-first-aid/,Paediatric First Aid,"Paediatric First Aid course in Kent. Learn to respond to child and infant emergencies including CPR, choking, injuries, and illness recognition.",152
https://www.continuitytrainingacademy.co.uk/courses/person-centred-care-l2/,Person-Centred Care,"Level 2 Person-Centred Care course. Learn to put service users at the heart of their care, promote choice, and support individual preferences.",151
https://www.continuitytrainingacademy.co.uk/courses/positive-behaviour-support-l2/,Positive Behaviour Support,"Level 2 Positive Behaviour Support training. Learn de-escalation techniques, triggers, and person-centred approaches to challenging behaviour.",153
https://www.continuitytrainingacademy.co.uk/courses/safeguarding-l2/,Safeguarding,"Level 2 Safeguarding training for care workers in Kent. Learn to recognise abuse, reporting procedures, and protecting vulnerable adults and children.",158
https://www.continuitytrainingacademy.co.uk/courses/the-role-of-a-care-worker-personal-development-l1/,Role of Care Worker,"Level 1 Role of a Care Worker and Personal Development. Introduction to care work, values, responsibilities, and professional development in Kent.",153
https://www.continuitytrainingacademy.co.uk/courses/tissue-viability-l2/,Tissue Viability,"Level 2 Tissue Viability course for care workers. Learn about pressure ulcer prevention, wound care, skin assessment, and repositioning in Kent.",153
https://www.continuitytrainingacademy.co.uk/upcoming-courses/adult-social-care-certificate-feb9/,Adult Social Care - 9 Feb,"Adult Social Care Certificate - 9 February 2026 in Maidstone. Book your place on this 3-day Level 2 course for new care workers. Limited places.",154
https://www.continuitytrainingacademy.co.uk/upcoming-courses/adult-social-care-certificate-may5/,Adult Social Care - 5 May,"Adult Social Care Certificate - 5 May 2026 in Maidstone. Book your place on this 3-day Level 2 course for new care workers. Limited places.",147
https://www.continuitytrainingacademy.co.uk/upcoming-courses/emergency-first-aid-at-work-1d-l3-jan29/,Emergency First Aid - 29 Jan,"Emergency First Aid at Work - 29 January 2026 in Maidstone. Book your 1-day Level 3 HSE-approved course. Limited places available.",137
https://www.continuitytrainingacademy.co.uk/upcoming-courses/emergency-first-aid-at-work-1d-l3-may19/,Emergency First Aid - 19 May,"Emergency First Aid at Work - 19 May 2026 in Maidstone. Book your 1-day Level 3 HSE-approved course. Limited places available.",130
https://www.continuitytrainingacademy.co.uk/upcoming-courses/emergency-paediatric-first-aid-jan27/,Paediatric First Aid - 27 Jan,"Emergency Paediatric First Aid - 27 January 2026 in Maidstone. Book your place on this essential child and infant first aid course.",136
https://www.continuitytrainingacademy.co.uk/upcoming-courses/emergency-paediatric-first-aid-mar24/,Paediatric First Aid - 24 Mar,"Emergency Paediatric First Aid - 24 March 2026 in Maidstone. Book your place on this essential child and infant first aid course.",133
https://www.continuitytrainingacademy.co.uk/upcoming-courses/medication-competency-management-1d-l3-feb2/,Medication Training - 2 Feb,"Medication Competency and Management - 2 February 2026 in Maidstone. Book your 1-day Level 3 course on safe medication administration.",139
https://www.continuitytrainingacademy.co.uk/upcoming-courses/medication-competency-management-1d-l3-apr7/,Medication Training - 7 Apr,"Medication Competency and Management - 7 April 2026 in Maidstone. Book your 1-day Level 3 course on safe medication administration.",136
https://www.continuitytrainingacademy.co.uk/upcoming-courses/moving-positioning-inc-hoist-1d-l3-feb3/,Moving & Handling - 3 Feb,"Moving and Positioning with Hoist - 3 February 2026 in Maidstone. Book your 1-day Level 3 practical manual handling and hoist course.",143
https://www.continuitytrainingacademy.co.uk/upcoming-courses/safeguarding-l2-feb13/,Safeguarding - 13 Feb,"Safeguarding Level 2 - 13 February 2026 in Maidstone. Book your place on this essential course for protecting vulnerable adults and children.",151
https://www.continuitytrainingacademy.co.uk/upcoming-courses/safeguarding-l2-apr8/,Safeguarding - 8 Apr,"Safeguarding Level 2 - 8 April 2026 in Maidstone. Book your place on this essential course for protecting vulnerable adults and children.",145
https://www.continuitytrainingacademy.co.uk/upcoming-courses/safeguarding-l2-may21/,Safeguarding - 21 May,"Safeguarding Level 2 - 21 May 2026 in Maidstone. Book your place on this essential course for protecting vulnerable adults and children.",142
https://www.continuitytrainingacademy.co.uk/upcoming-courses/safeguarding-l2-jun12/,Safeguarding - 12 Jun,"Safeguarding Level 2 - 12 June 2026 in Maidstone. Book your place on this essential course for protecting vulnerable adults and children.",143
https://www.continuitytrainingacademy.co.uk/maidstone-national-award-first-dec21/,National Award Win,"Continuity Training Academy wins national award in first year of operation. Read about our recognition as a leading care training provider in Kent.",154
https://www.continuitytrainingacademy.co.uk/moving-handling-reducing-workplace-jan25/,Moving & Handling Safety,"How proper moving and handling training reduces workplace injuries in care settings. Learn about manual handling risks and prevention strategies.",152
https://www.continuitytrainingacademy.co.uk/cqc-inspection-framework-2025-dec25/,CQC Framework 2025/26,"CQC inspection framework 2025 recap and 2026 projections. What care providers need to know about upcoming changes and inspection priorities.",151
https://www.continuitytrainingacademy.co.uk/first-aid-certification-you-jan25/,First Aid Certification Guide,"First aid certification explained: requirements, levels, renewal periods, and choosing the right course for your care setting. Expert guidance.",153
